transaction_id,date,year,month,quarter,day_of_week,product_category,region,channel,salesperson_id,quantity,unit_price,discount,revenue,profit,customer_churned,revenue_band,is_discounted
TXN002366,2021-01-06,2021,1,1,Wednesday,Home Goods,South,Mobile App,SP_023,6,122.66,0.05,699.16,277.97,1,M,1
TXN002709,2021-01-06,2021,1,1,Wednesday,Books,South,Retail Store,SP_024,9,26.9,0.05,229.99,123.19,1,S,1
TXN003133,2021-01-06,2021,1,1,Wednesday,Electronics,Central,Online,SP_025,7,388.58,0.05,2584.06,683.09,0,L,1
TXN004149,2021-01-06,2021,1,1,Wednesday,Sports,Central,Online,SP_031,11,106.47,0.1,1054.05,355.32,1,L,1
TXN004518,2021-01-06,2021,1,1,Wednesday,Sports,Central,Retail Store,SP_025,24,85.01,0.05,1938.23,839.04,1,L,1
TXN004464,2021-01-06,2021,1,1,Wednesday,Sports,South,Online,SP_005,9,102.67,0.05,877.83,376.83,0,M,1
TXN004067,2021-01-06,2021,1,1,Wednesday,Clothing,East,Wholesale,SP_019,5,85.49,0.0,427.45,271.47,0,S,0
TXN002281,2021-01-07,2021,1,1,Thursday,Clothing,North,Wholesale,SP_012,6,70.92,0.0,425.52,237.08,0,S,0
TXN001683,2021-01-07,2021,1,1,Thursday,Sports,North,Mobile App,SP_036,8,104.59,0.05,794.88,277.31,0,M,1
TXN003132,2021-01-07,2021,1,1,Thursday,Books,Central,Online,SP_008,4,24.31,0.0,97.24,58.51,0,XS,0
TXN002747,2021-01-07,2021,1,1,Thursday,Home Goods,East,Retail Store,SP_003,9,123.26,0.15,942.94,399.03,0,M,1
TXN003831,2021-01-08,2021,1,1,Friday,Home Goods,Central,Online,SP_012,9,129.9,0.05,1110.64,399.49,0,L,1
TXN003454,2021-01-09,2021,1,1,Saturday,Electronics,West,Retail Store,SP_006,4,418.18,0.05,1589.08,401.81,0,L,1
TXN003795,2021-01-09,2021,1,1,Saturday,Clothing,North,Retail Store,SP_033,5,78.1,0.0,390.5,180.42,1,S,0
TXN003396,2021-01-09,2021,1,1,Saturday,Electronics,West,Wholesale,SP_016,1,432.36,0.05,410.74,130.23,1,S,1
TXN003881,2021-01-10,2021,1,1,Sunday,Clothing,Central,Online,SP_005,7,78.27,0.05,520.5,235.13,0,M,1
TXN000536,2021-01-10,2021,1,1,Sunday,Electronics,Central,Retail Store,SP_024,4,479.32,0.2,1533.82,436.01,0,L,1
TXN004227,2021-01-10,2021,1,1,Sunday,Home Goods,North,Mobile App,SP_017,10,107.2,0.05,1018.4,497.95,0,L,1
TXN002720,2021-01-10,2021,1,1,Sunday,Sports,East,Online,SP_033,7,98.21,0.05,653.1,244.49,0,M,1
TXN003799,2021-01-10,2021,1,1,Sunday,Books,West,Retail Store,SP_001,11,23.09,0.05,241.29,129.16,0,S,1
TXN003685,2021-01-11,2021,1,1,Monday,Electronics,West,Mobile App,SP_035,8,406.33,0.05,3088.11,818.62,0,L,1
TXN004695,2021-01-11,2021,1,1,Monday,Books,West,Retail Store,SP_010,4,26.9,0.05,102.22,76.42,0,XS,1
TXN004138,2021-01-11,2021,1,1,Monday,Electronics,East,Retail Store,SP_029,5,484.72,0.1,2181.24,689.57,0,L,1
TXN003464,2021-01-13,2021,1,1,Wednesday,Electronics,Central,Retail Store,SP_011,5,512.2,0.0,2561.0,720.59,0,L,0
TXN002507,2021-01-13,2021,1,1,Wednesday,Electronics,North,Retail Store,SP_020,6,428.93,0.0,2573.58,827.73,1,L,0
TXN001577,2021-01-14,2021,1,1,Thursday,Sports,Central,Retail Store,SP_008,21,86.2,0.0,1810.2,663.64,1,L,0
TXN002764,2021-01-14,2021,1,1,Thursday,Home Goods,East,Mobile App,SP_022,5,136.88,0.1,615.96,264.44,0,M,1
TXN000902,2021-01-14,2021,1,1,Thursday,Electronics,South,Online,SP_038,13,442.49,0.15,4889.51,1417.77,0,L,1
TXN000340,2021-01-14,2021,1,1,Thursday,Sports,South,Retail Store,SP_005,16,98.4,0.1,1416.96,519.32,1,L,1
TXN001195,2021-01-14,2021,1,1,Thursday,Home Goods,North,Online,SP_023,4,127.25,0.0,509.0,255.37,1,M,0
TXN003430,2021-01-15,2021,1,1,Friday,Sports,West,Wholesale,SP_024,14,100.57,0.1,1267.18,462.1,0,L,1
TXN001355,2021-01-15,2021,1,1,Friday,Sports,Central,Wholesale,SP_016,18,85.24,0.2,1227.46,532.88,0,L,1
TXN000647,2021-01-15,2021,1,1,Friday,Books,Central,Online,SP_034,5,25.69,0.0,128.45,69.21,0,XS,0
TXN004791,2021-01-15,2021,1,1,Friday,Clothing,Central,Wholesale,SP_021,3,75.52,0.1,203.9,124.75,0,S,1
TXN003504,2021-01-16,2021,1,1,Saturday,Electronics,West,Wholesale,SP_023,4,453.06,0.15,1540.4,516.91,0,L,1
TXN004725,2021-01-16,2021,1,1,Saturday,Electronics,North,Mobile App,SP_005,2,391.94,0.05,744.69,239.98,0,M,1
TXN003283,2021-01-16,2021,1,1,Saturday,Home Goods,Central,Mobile App,SP_032,8,134.24,0.0,1073.92,429.97,0,L,0
TXN003878,2021-01-17,2021,1,1,Sunday,Electronics,West,Retail Store,SP_018,2,402.25,0.0,804.5,258.83,0,M,0
TXN002889,2021-01-17,2021,1,1,Sunday,Books,West,Retail Store,SP_004,10,21.94,0.1,197.46,125.9,1,XS,1
TXN004132,2021-01-17,2021,1,1,Sunday,Electronics,Central,Retail Store,SP_023,7,508.97,0.1,3206.51,796.27,0,L,1
TXN002517,2021-01-17,2021,1,1,Sunday,Electronics,Central,Retail Store,SP_027,13,506.95,0.0,6590.35,2162.59,1,XL,0
TXN002813,2021-01-17,2021,1,1,Sunday,Books,East,Wholesale,SP_033,9,23.48,0.0,211.32,131.12,0,S,0
TXN003438,2021-01-18,2021,1,1,Monday,Home Goods,North,Retail Store,SP_034,5,122.66,0.15,521.3,219.69,1,M,1
TXN000675,2021-01-18,2021,1,1,Monday,Electronics,South,Mobile App,SP_038,6,425.02,0.0,2550.12,608.06,0,L,0
TXN002027,2021-01-18,2021,1,1,Monday,Electronics,East,Online,SP_021,11,507.09,0.15,4741.29,1564.95,0,L,1
TXN004691,2021-01-19,2021,1,1,Tuesday,Electronics,Central,Mobile App,SP_005,4,505.68,0.0,2022.72,586.16,1,L,0
TXN002986,2021-01-19,2021,1,1,Tuesday,Sports,East,Retail Store,SP_038,6,107.58,0.15,548.66,240.92,1,M,1
TXN001395,2021-01-19,2021,1,1,Tuesday,Books,West,Wholesale,SP_020,10,25.89,0.15,220.06,133.98,0,S,1
TXN000596,2021-01-19,2021,1,1,Tuesday,Electronics,East,Mobile App,SP_016,10,434.21,0.15,3690.78,1128.3,0,L,1
TXN002734,2021-01-20,2021,1,1,Wednesday,Books,North,Wholesale,SP_021,7,28.12,0.0,196.84,125.52,0,XS,0
TXN000348,2021-01-20,2021,1,1,Wednesday,Clothing,North,Mobile App,SP_028,4,68.65,0.05,260.87,152.77,0,S,1
TXN004761,2021-01-21,2021,1,1,Thursday,Books,North,Mobile App,SP_017,11,22.22,0.1,219.98,153.64,1,S,1
TXN003918,2021-01-22,2021,1,1,Friday,Clothing,North,Retail Store,SP_025,5,75.24,0.1,338.58,163.01,0,S,1
TXN004085,2021-01-22,2021,1,1,Friday,Sports,West,Online,SP_007,16,91.71,0.15,1247.26,543.22,0,L,1
TXN002042,2021-01-22,2021,1,1,Friday,Books,North,Wholesale,SP_025,11,23.37,0.0,257.07,140.96,0,S,0
TXN001245,2021-01-23,2021,1,1,Saturday,Home Goods,South,Mobile App,SP_023,13,106.44,0.0,1383.72,625.38,0,L,0
TXN001925,2021-01-23,2021,1,1,Saturday,Electronics,Central,Wholesale,SP_034,9,416.51,0.0,3748.59,849.03,0,L,0
TXN002757,2021-01-23,2021,1,1,Saturday,Electronics,West,Retail Store,SP_025,2,485.14,0.0,970.28,310.23,1,M,0
TXN004973,2021-01-24,2021,1,1,Sunday,Sports,Central,Online,SP_003,7,91.28,0.05,607.01,187.6,0,M,1
TXN001781,2021-01-24,2021,1,1,Sunday,Sports,West,Mobile App,SP_004,15,100.19,0.0,1502.85,464.25,0,L,0
TXN000303,2021-01-24,2021,1,1,Sunday,Home Goods,East,Retail Store,SP_004,6,115.48,0.1,623.59,293.1,0,M,1
TXN004343,2021-01-25,2021,1,1,Monday,Sports,South,Mobile App,SP_011,9,87.29,0.1,707.05,291.69,0,M,1
TXN003783,2021-01-25,2021,1,1,Monday,Electronics,West,Wholesale,SP_025,6,497.16,0.0,2982.96,710.48,1,L,0
TXN004403,2021-01-25,2021,1,1,Monday,Clothing,West,Online,SP_002,5,84.64,0.2,338.56,186.33,0,S,1
TXN003517,2021-01-25,2021,1,1,Monday,Books,West,Online,SP_039,4,25.03,0.05,95.11,68.87,0,XS,1
TXN001838,2021-01-25,2021,1,1,Monday,Books,South,Retail Store,SP_024,9,28.45,0.1,230.45,129.72,0,S,1
TXN000457,2021-01-25,2021,1,1,Monday,Electronics,South,Retail Store,SP_013,8,434.65,0.1,3129.48,824.9,0,L,1
TXN002667,2021-01-25,2021,1,1,Monday,Electronics,North,Online,SP_026,6,506.77,0.05,2888.59,780.43,0,L,1
TXN002938,2021-01-25,2021,1,1,Monday,Home Goods,West,Online,SP_011,9,126.98,0.0,1142.82,457.3,0,L,0
TXN002158,2021-01-25,2021,1,1,Monday,Electronics,Central,Wholesale,SP_038,4,420.38,0.05,1597.44,466.07,0,L,1
TXN001217,2021-01-25,2021,1,1,Monday,Sports,Central,Retail Store,SP_026,13,82.84,0.0,1076.92,393.72,0,L,0
TXN003610,2021-01-26,2021,1,1,Tuesday,Sports,North,Online,SP_012,6,105.61,0.0,633.66,234.1,1,M,0
TXN003415,2021-01-26,2021,1,1,Tuesday,Home Goods,East,Wholesale,SP_008,8,117.57,0.05,893.53,439.23,0,M,1
TXN001780,2021-01-26,2021,1,1,Tuesday,Clothing,East,Retail Store,SP_037,8,65.3,0.05,496.28,294.93,0,S,1
TXN004929,2021-01-27,2021,1,1,Wednesday,Electronics,North,Mobile App,SP_007,4,502.34,0.1,1808.42,489.54,0,L,1
TXN000970,2021-01-27,2021,1,1,Wednesday,Clothing,Central,Wholesale,SP_024,6,80.09,0.1,432.49,220.22,0,S,1
TXN002783,2021-01-27,2021,1,1,Wednesday,Clothing,North,Retail Store,SP_004,6,77.88,0.0,467.28,222.4,0,S,0
TXN001432,2021-01-28,2021,1,1,Thursday,Home Goods,North,Retail Store,SP_004,12,118.41,0.15,1207.78,608.15,1,L,1
TXN003813,2021-01-28,2021,1,1,Thursday,Sports,North,Wholesale,SP_019,10,91.6,0.05,870.2,292.8,0,M,1
TXN001372,2021-01-28,2021,1,1,Thursday,Clothing,North,Wholesale,SP_028,7,71.52,0.2,400.51,177.77,0,S,1
TXN001384,2021-01-28,2021,1,1,Thursday,Books,South,Wholesale,SP_024,8,27.35,0.1,196.92,103.74,0,XS,1
TXN001084,2021-01-28,2021,1,1,Thursday,Clothing,West,Mobile App,SP_026,8,85.35,0.15,580.38,321.77,0,M,1
TXN003555,2021-01-28,2021,1,1,Thursday,Sports,West,Retail Store,SP_007,19,96.89,0.1,1656.82,754.46,0,L,1
TXN001907,2021-01-30,2021,1,1,Saturday,Clothing,North,Retail Store,SP_011,4,68.77,0.0,275.08,137.49,1,S,0
TXN004530,2021-01-30,2021,1,1,Saturday,Sports,East,Online,SP_029,9,96.34,0.1,780.35,252.45,1,M,1
TXN000034,2021-01-31,2021,1,1,Sunday,Electronics,South,Retail Store,SP_027,9,394.82,0.05,3375.71,876.88,0,L,1
TXN000166,2021-01-31,2021,1,1,Sunday,Home Goods,South,Wholesale,SP_002,5,117.73,0.0,588.65,269.93,1,M,0
TXN002696,2021-02-01,2021,2,1,Monday,Books,South,Mobile App,SP_036,6,21.92,0.05,124.94,79.9,0,XS,1
TXN000660,2021-02-01,2021,2,1,Monday,Electronics,North,Wholesale,SP_036,4,508.98,0.15,1730.53,419.53,0,L,1
TXN000925,2021-02-02,2021,2,1,Tuesday,Sports,East,Retail Store,SP_030,7,86.52,0.15,514.79,226.15,0,M,1
TXN002218,2021-02-02,2021,2,1,Tuesday,Clothing,West,Retail Store,SP_029,4,66.43,0.15,225.86,148.77,0,S,1
TXN000319,2021-02-02,2021,2,1,Tuesday,Clothing,South,Online,SP_007,5,64.48,0.05,306.28,179.15,0,S,1
TXN003321,2021-02-02,2021,2,1,Tuesday,Electronics,Central,Retail Store,SP_031,6,457.17,0.05,2605.87,813.55,0,L,1
TXN004059,2021-02-02,2021,2,1,Tuesday,Home Goods,South,Wholesale,SP_026,3,129.51,0.0,388.53,155.77,0,S,0
TXN001479,2021-02-03,2021,2,1,Wednesday,Books,West,Online,SP_032,7,24.5,0.1,154.35,107.53,0,XS,1
TXN003447,2021-02-03,2021,2,1,Wednesday,Books,North,Mobile App,SP_023,8,21.66,0.05,164.62,119.72,0,XS,1
TXN003374,2021-02-03,2021,2,1,Wednesday,Clothing,West,Wholesale,SP_033,8,67.14,0.05,510.26,248.93,1,M,1
TXN000641,2021-02-03,2021,2,1,Wednesday,Clothing,Central,Mobile App,SP_010,5,72.62,0.05,344.94,151.87,1,S,1
TXN003587,2021-02-03,2021,2,1,Wednesday,Electronics,West,Mobile App,SP_040,9,507.97,0.0,4571.73,1061.05,1,L,0
TXN004112,2021-02-04,2021,2,1,Thursday,Clothing,East,Online,SP_017,7,80.33,0.15,477.96,238.29,0,S,1
TXN003210,2021-02-04,2021,2,1,Thursday,Electronics,East,Mobile App,SP_027,7,395.9,0.0,2771.3,800.41,0,L,0
TXN000426,2021-02-04,2021,2,1,Thursday,Books,North,Online,SP_017,10,25.21,0.0,252.1,153.01,0,S,0
TXN001425,2021-02-05,2021,2,1,Friday,Home Goods,Central,Mobile App,SP_009,7,105.29,0.15,626.48,231.95,1,M,1
TXN004062,2021-02-05,2021,2,1,Friday,Home Goods,East,Mobile App,SP_016,4,123.61,0.05,469.72,214.95,0,S,1
TXN002943,2021-02-05,2021,2,1,Friday,Sports,North,Mobile App,SP_023,7,84.59,0.05,562.52,246.94,1,M,1
TXN003810,2021-02-05,2021,2,1,Friday,Books,East,Retail Store,SP_011,7,22.49,0.15,133.82,73.98,0,XS,1
TXN003172,2021-02-05,2021,2,1,Friday,Sports,East,Wholesale,SP_006,5,90.0,0.1,405.0,183.72,1,S,1
TXN002405,2021-02-06,2021,2,1,Saturday,Electronics,South,Online,SP_034,6,500.3,0.15,2551.53,768.22,0,L,1
TXN002820,2021-02-07,2021,2,1,Sunday,Electronics,Central,Online,SP_032,7,501.16,0.15,2981.9,903.69,0,L,1
TXN004468,2021-02-07,2021,2,1,Sunday,Home Goods,North,Online,SP_033,8,127.21,0.0,1017.68,374.2,0,L,0
TXN001614,2021-02-07,2021,2,1,Sunday,Books,West,Online,SP_025,12,26.6,0.1,287.28,207.46,0,S,1
TXN004197,2021-02-07,2021,2,1,Sunday,Home Goods,South,Online,SP_014,13,123.24,0.05,1522.01,595.4,0,L,1
TXN002937,2021-02-07,2021,2,1,Sunday,Home Goods,Central,Mobile App,SP_033,6,118.26,0.05,674.08,294.58,0,M,1
TXN000224,2021-02-08,2021,2,1,Monday,Home Goods,South,Retail Store,SP_036,4,111.63,0.15,379.54,180.8,0,S,1
TXN002902,2021-02-08,2021,2,1,Monday,Home Goods,South,Mobile App,SP_038,9,105.23,0.05,899.72,409.68,0,M,1
TXN004746,2021-02-09,2021,2,1,Tuesday,Clothing,Central,Mobile App,SP_024,4,84.25,0.15,286.45,167.76,0,S,1
TXN001860,2021-02-09,2021,2,1,Tuesday,Clothing,South,Wholesale,SP_019,7,76.76,0.1,483.59,313.92,1,S,1
TXN002752,2021-02-09,2021,2,1,Tuesday,Sports,Central,Mobile App,SP_036,7,99.89,0.0,699.23,235.25,0,M,0
TXN004552,2021-02-09,2021,2,1,Tuesday,Sports,East,Mobile App,SP_010,6,84.49,0.1,456.25,203.16,0,S,1
TXN002099,2021-02-09,2021,2,1,Tuesday,Books,East,Mobile App,SP_002,11,21.69,0.1,214.73,150.5,0,S,1
TXN002584,2021-02-10,2021,2,1,Wednesday,Home Goods,Central,Retail Store,SP_035,10,119.86,0.1,1078.74,401.02,0,L,1
TXN002327,2021-02-10,2021,2,1,Wednesday,Home Goods,Central,Mobile App,SP_037,5,113.75,0.0,568.75,256.18,0,M,0
TXN004019,2021-02-10,2021,2,1,Wednesday,Electronics,West,Mobile App,SP_019,5,401.7,0.0,2008.5,500.1,0,L,0
TXN004317,2021-02-10,2021,2,1,Wednesday,Sports,South,Wholesale,SP_022,6,88.54,0.0,531.24,211.92,0,M,0
TXN002350,2021-02-11,2021,2,1,Thursday,Clothing,West,Wholesale,SP_025,5,75.18,0.1,338.31,184.41,0,S,1
TXN001008,2021-02-11,2021,2,1,Thursday,Sports,Central,Online,SP_021,7,94.03,0.0,658.21,223.98,0,M,0
TXN003720,2021-02-11,2021,2,1,Thursday,Clothing,Central,Mobile App,SP_026,4,81.05,0.0,324.2,156.0,0,S,0
TXN000517,2021-02-11,2021,2,1,Thursday,Electronics,West,Retail Store,SP_012,4,514.33,0.05,1954.45,520.16,1,L,1
TXN003899,2021-02-11,2021,2,1,Thursday,Clothing,Central,Wholesale,SP_005,3,74.51,0.05,212.35,123.55,0,S,1
TXN003954,2021-02-11,2021,2,1,Thursday,Electronics,Central,Online,SP_029,3,497.28,0.1,1342.66,434.07,0,L,1
TXN001547,2021-02-12,2021,2,1,Friday,Clothing,East,Online,SP_011,11,64.88,0.1,642.31,407.24,0,M,1
TXN001952,2021-02-12,2021,2,1,Friday,Books,West,Mobile App,SP_027,9,28.23,0.05,241.37,181.78,0,S,1
TXN001553,2021-02-12,2021,2,1,Friday,Clothing,West,Retail Store,SP_010,11,66.24,0.0,728.64,354.61,1,M,0
TXN001408,2021-02-12,2021,2,1,Friday,Electronics,North,Online,SP_009,10,511.39,0.0,5113.9,1550.01,1,XL,0
TXN002152,2021-02-12,2021,2,1,Friday,Books,East,Online,SP_027,4,24.17,0.05,91.85,55.08,0,XS,1
TXN002278,2021-02-12,2021,2,1,Friday,Electronics,South,Wholesale,SP_011,8,429.21,0.1,3090.31,885.61,0,L,1
TXN001031,2021-02-13,2021,2,1,Saturday,Books,North,Online,SP_016,7,25.61,0.0,179.27,109.62,0,XS,0
TXN004269,2021-02-13,2021,2,1,Saturday,Clothing,South,Online,SP_006,12,69.16,0.1,746.93,450.99,0,M,1
TXN001694,2021-02-13,2021,2,1,Saturday,Sports,North,Wholesale,SP_023,10,87.33,0.1,785.97,348.88,0,M,1
TXN001391,2021-02-14,2021,2,1,Sunday,Clothing,Central,Wholesale,SP_009,7,74.82,0.0,523.74,314.94,0,M,0
TXN001762,2021-02-14,2021,2,1,Sunday,Sports,Central,Mobile App,SP_038,4,97.36,0.05,369.97,152.17,0,S,1
TXN002622,2021-02-14,2021,2,1,Sunday,Clothing,East,Wholesale,SP_020,5,66.43,0.05,315.54,162.66,0,S,1
TXN004965,2021-02-14,2021,2,1,Sunday,Sports,North,Wholesale,SP_017,6,108.61,0.0,651.66,224.27,0,M,0
TXN003948,2021-02-14,2021,2,1,Sunday,Clothing,West,Retail Store,SP_001,7,71.16,0.0,498.12,327.17,0,S,0
TXN003729,2021-02-14,2021,2,1,Sunday,Clothing,Central,Wholesale,SP_028,9,74.07,0.0,666.63,333.19,1,M,0
TXN004664,2021-02-15,2021,2,1,Monday,Books,East,Online,SP_012,7,27.86,0.1,175.52,93.3,1,XS,1
TXN004989,2021-02-15,2021,2,1,Monday,Home Goods,South,Retail Store,SP_006,7,126.27,0.1,795.5,346.23,0,M,1
TXN004015,2021-02-15,2021,2,1,Monday,Sports,Central,Online,SP_006,5,89.67,0.1,403.52,167.43,0,S,1
TXN003053,2021-02-16,2021,2,1,Tuesday,Books,Central,Retail Store,SP_007,5,23.6,0.05,112.1,74.27,0,XS,1
TXN002296,2021-02-16,2021,2,1,Tuesday,Electronics,East,Wholesale,SP_012,8,459.4,0.1,3307.68,1067.01,0,L,1
TXN003088,2021-02-17,2021,2,1,Wednesday,Clothing,Central,Retail Store,SP_026,5,83.5,0.0,417.5,248.71,0,S,0
TXN004802,2021-02-17,2021,2,1,Wednesday,Books,South,Mobile App,SP_007,9,21.36,0.15,163.4,111.81,0,XS,1
TXN001501,2021-02-17,2021,2,1,Wednesday,Books,Central,Retail Store,SP_014,6,24.85,0.15,126.74,80.86,1,XS,1
TXN003537,2021-02-17,2021,2,1,Wednesday,Sports,South,Retail Store,SP_009,8,100.05,0.05,760.38,295.63,1,M,1
TXN001806,2021-02-17,2021,2,1,Wednesday,Home Goods,Central,Mobile App,SP_016,5,129.04,0.0,645.2,238.0,0,M,0
TXN002382,2021-02-17,2021,2,1,Wednesday,Electronics,West,Mobile App,SP_020,7,435.71,0.05,2897.47,701.9,0,L,1
TXN003255,2021-02-17,2021,2,1,Wednesday,Sports,North,Mobile App,SP_020,4,89.46,0.1,322.06,134.46,0,S,1
TXN001143,2021-02-17,2021,2,1,Wednesday,Home Goods,West,Retail Store,SP_027,9,108.72,0.0,978.48,361.38,0,M,0
TXN001170,2021-02-17,2021,2,1,Wednesday,Books,Central,Wholesale,SP_036,7,23.1,0.15,137.45,76.59,1,XS,1
TXN002039,2021-02-18,2021,2,1,Thursday,Sports,East,Retail Store,SP_004,5,98.32,0.05,467.02,181.98,0,S,1
TXN002197,2021-02-19,2021,2,1,Friday,Books,South,Online,SP_029,7,23.68,0.1,149.18,107.17,1,XS,1
TXN001699,2021-02-19,2021,2,1,Friday,Clothing,South,Online,SP_018,5,70.1,0.1,315.45,185.33,0,S,1
TXN000926,2021-02-19,2021,2,1,Friday,Sports,West,Retail Store,SP_026,5,81.47,0.0,407.35,170.28,0,S,0
TXN004447,2021-02-20,2021,2,1,Saturday,Home Goods,Central,Mobile App,SP_031,6,134.64,0.0,807.84,382.34,0,M,0
TXN003852,2021-02-20,2021,2,1,Saturday,Home Goods,North,Online,SP_019,4,111.91,0.0,447.64,206.51,0,S,0
TXN002825,2021-02-21,2021,2,1,Sunday,Books,West,Wholesale,SP_010,8,28.55,0.0,228.4,148.59,0,S,0
TXN004217,2021-02-21,2021,2,1,Sunday,Books,Central,Mobile App,SP_024,11,25.26,0.1,250.07,194.26,0,S,1
TXN000582,2021-02-21,2021,2,1,Sunday,Sports,South,Online,SP_004,6,107.63,0.0,645.78,287.77,0,M,0
TXN004188,2021-02-21,2021,2,1,Sunday,Books,South,Wholesale,SP_012,3,23.5,0.15,59.92,35.36,0,XS,1
TXN001897,2021-02-22,2021,2,1,Monday,Home Goods,North,Mobile App,SP_003,8,123.69,0.1,890.57,445.2,1,M,1
TXN001881,2021-02-23,2021,2,1,Tuesday,Books,Central,Online,SP_009,11,25.43,0.05,265.74,163.51,0,S,1
TXN004823,2021-02-23,2021,2,1,Tuesday,Clothing,Central,Wholesale,SP_031,9,82.48,0.0,742.32,411.46,0,M,0
TXN001240,2021-02-24,2021,2,1,Wednesday,Electronics,West,Mobile App,SP_022,12,473.47,0.1,5113.48,1266.08,0,XL,1
TXN004932,2021-02-24,2021,2,1,Wednesday,Sports,West,Mobile App,SP_030,11,96.29,0.1,953.27,354.7,0,M,1
TXN004225,2021-02-24,2021,2,1,Wednesday,Clothing,North,Wholesale,SP_027,3,70.61,0.05,201.24,106.15,0,S,1
TXN003549,2021-02-24,2021,2,1,Wednesday,Sports,North,Mobile App,SP_025,9,92.57,0.1,749.82,335.35,0,M,1
TXN001087,2021-02-24,2021,2,1,Wednesday,Clothing,West,Retail Store,SP_016,10,69.86,0.05,663.67,297.71,0,M,1
TXN002394,2021-02-24,2021,2,1,Wednesday,Electronics,Central,Online,SP_022,6,436.64,0.1,2357.86,608.2,1,L,1
TXN004950,2021-02-25,2021,2,1,Thursday,Clothing,West,Wholesale,SP_018,8,76.51,0.05,581.48,287.69,0,M,1
TXN004712,2021-02-25,2021,2,1,Thursday,Clothing,East,Wholesale,SP_021,6,66.57,0.0,399.42,240.8,0,S,0
TXN003234,2021-02-26,2021,2,1,Friday,Clothing,Central,Wholesale,SP_010,11,66.75,0.1,660.83,309.81,0,M,1
TXN002596,2021-02-26,2021,2,1,Friday,Home Goods,North,Online,SP_016,5,108.86,0.0,544.3,211.84,0,M,0
TXN001962,2021-02-26,2021,2,1,Friday,Books,West,Mobile App,SP_009,7,28.7,0.2,160.72,103.99,0,XS,1
TXN002894,2021-02-26,2021,2,1,Friday,Clothing,East,Online,SP_009,4,68.7,0.1,247.32,156.37,0,S,1
TXN002865,2021-02-27,2021,2,1,Saturday,Sports,East,Mobile App,SP_035,6,108.95,0.05,621.01,254.01,0,M,1
TXN001249,2021-02-27,2021,2,1,Saturday,Electronics,East,Retail Store,SP_005,2,404.17,0.0,808.34,188.03,0,M,0
TXN004322,2021-02-28,2021,2,1,Sunday,Sports,North,Wholesale,SP_023,7,91.67,0.0,641.69,253.84,0,M,0
TXN004346,2021-02-28,2021,2,1,Sunday,Books,South,Online,SP_026,10,27.03,0.05,256.79,149.51,0,S,1
TXN000139,2021-03-01,2021,3,1,Monday,Electronics,East,Online,SP_019,8,508.13,0.0,4065.04,963.55,0,L,0
